date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622237;CONSOMMATION;CARTOL;2021-05-17T18:00:00+00:00;;8711;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE PRINCIPALE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T18:00:00+00:00;ETUVE 180°C RALLONGE PRINCIPALE-2021-05-17T18:00:00+00:00;8711;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;18;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 10 MIN;12346609;AUTRES;CARTOL;2021-05-17T19:00:00+00:00;;13;°C;TEMPERATURE;SOUS LE PORCHE;Sous-compteur;Température;TEMPERATURE;2021-05-17T19:00:00+00:00;SOUS LE PORCHE-2021-05-17T19:00:00+00:00;11;;1000;;;;Hiver;2021-05;1;19;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622224;CONSOMMATION;CARTOL;2021-05-17T19:00:00+00:00;;2193;m3;CONSOMMATION GAZ 1;AEROTHERMES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T19:00:00+00:00;AEROTHERMES-2021-05-17T19:00:00+00:00;2193;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;19;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622237;CONSOMMATION;CARTOL;2021-05-17T19:00:00+00:00;;8711;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE PRINCIPALE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T19:00:00+00:00;ETUVE 180°C RALLONGE PRINCIPALE-2021-05-17T19:00:00+00:00;8711;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;19;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622215;CONSOMMATION;CARTOL;2021-05-17T20:00:00+00:00;;17801;m3;CONSOMMATION GAZ 1;ETUVE 2;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-17T20:00:00+00:00;ETUVE 2-2021-05-17T20:00:00+00:00;17801;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;20;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622219;CONSOMMATION;CARTOL;2021-05-17T20:00:00+00:00;;0;m3;CONSOMMATION GAZ 1;GDFA100;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T20:00:00+00:00;GDFA100-2021-05-17T20:00:00+00:00;0;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;20;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622221;CONSOMMATION;CARTOL;2021-05-17T20:00:00+00:00;;28344;m3;CONSOMMATION GAZ 1;GDFA300;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T20:00:00+00:00;GDFA300-2021-05-17T20:00:00+00:00;28344;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;20;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622183;CONSOMMATION;CARTOL;2021-05-17T21:00:00+00:00;;93898;m3;CONSOMMATION GAZ 1;CHAUDIERE CATAPHORESE;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-17T21:00:00+00:00;CHAUDIERE CATAPHORESE-2021-05-17T21:00:00+00:00;93905;7.0;1000;165.522;149.1189189189189;6.372597;Hiver;2021-05;1;21;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622221;CONSOMMATION;CARTOL;2021-05-17T21:00:00+00:00;;28344;m3;CONSOMMATION GAZ 1;GDFA300;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T21:00:00+00:00;GDFA300-2021-05-17T21:00:00+00:00;28344;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;21;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622228;CONSOMMATION;CARTOL;2021-05-17T21:00:00+00:00;;2989;m3;CONSOMMATION GAZ 1;RETOUCHES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T21:00:00+00:00;RETOUCHES-2021-05-17T21:00:00+00:00;2989;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;21;False;0.0;23
