date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-05-11T23:00:00+00:00;;120304;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-05-11T23:00:00+00:00;GENERAL CATAPHORESE-2021-05-11T23:00:00+00:00;120304;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;1;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-11T23:00:00+00:00;;99156;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-11T23:00:00+00:00;GENERAL PEINTURE-2021-05-11T23:00:00+00:00;99156;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;1;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T01:00:00+00:00;;1865280;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T01:00:00+00:00;POSTE HT-2021-05-12T01:00:00+00:00;1865320;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;3;3;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T01:30:00+00:00;;1865410;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T01:30:00+00:00;POSTE HT-2021-05-12T01:30:00+00:00;1865450;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;3;3;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T01:40:00+00:00;;1865450;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T01:40:00+00:00;POSTE HT-2021-05-12T01:40:00+00:00;1865490;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;3;3;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-12T01:00:00+00:00;;99156;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-12T01:00:00+00:00;GENERAL PEINTURE-2021-05-12T01:00:00+00:00;99156;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;3;3;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T02:40:00+00:00;;1865680;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T02:40:00+00:00;POSTE HT-2021-05-12T02:40:00+00:00;1865720;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;3;4;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T02:50:00+00:00;;1865720;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T02:50:00+00:00;POSTE HT-2021-05-12T02:50:00+00:00;1865780;60.0;360.0;1850;60.0;60.0;6.119999999999999;Hiver;2021-05;3;4;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-12T02:00:00+00:00;;99156;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-12T02:00:00+00:00;GENERAL PEINTURE-2021-05-12T02:00:00+00:00;99157;1.0;0.0;1000;23.646;21.302702702702703;0.910371;Hiver;2021-05;3;4;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T03:00:00+00:00;;1865780;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T03:00:00+00:00;POSTE HT-2021-05-12T03:00:00+00:00;1865830;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-05;3;5;False;0.0;14
